2011-06-15	08:45:29.210026	MA023	ON	Cook_Breakfast="begin"
2011-06-15	08:45:29.924025	M010	ON
2011-06-15	08:45:30.317599	MA023	OFF
2011-06-15	08:45:31.010973	LS010	8
2011-06-15	08:45:31.105872	M010	OFF
2011-06-15	08:45:31.155517	LS003	21
2011-06-15	08:45:31.209226	M003	ON
2011-06-15	08:45:31.284284	MA023	ON
2011-06-15	08:45:32.485693	D002	OPEN
2011-06-15	08:45:38.128025	LS003	29
2011-06-15	08:45:38.219509	M003	OFF
2011-06-15	08:45:38.932452	M003	ON
2011-06-15	08:45:41.698279	M003	OFF
2011-06-15	08:45:42.827879	M003	ON
2011-06-15	08:45:44.555801	M003	OFF
2011-06-15	08:45:45.30361	M003	ON
2011-06-15	08:45:52.952116	D002	CLOSE
2011-06-15	08:45:54.821545	LS003	20
2011-06-15	08:45:54.87645	M003	OFF
2011-06-15	08:46:02.725555	M003	ON
2011-06-15	08:46:03.858441	LS003	21
2011-06-15	08:46:03.887922	M003	OFF
2011-06-15	08:46:04.753828	LS003	20
2011-06-15	08:46:04.823661	M003	ON
2011-06-15	08:46:05.911905	M003	OFF
2011-06-15	08:46:06.445751	M003	ON
2011-06-15	08:46:07.530868	LS011	16
2011-06-15	08:46:07.560281	M011	ON
2011-06-15	08:46:07.675092	M003	OFF
2011-06-15	08:46:07.814467	LS020	5
2011-06-15	08:46:09.394451	LS011	15
2011-06-15	08:46:09.443236	M011	OFF
2011-06-15	08:46:10.206509	LS023	27
2011-06-15	08:46:10.260815	MA023	OFF
2011-06-15	08:46:11.478975	MA023	ON
2011-06-15	08:46:12.258011	LS023	26
2011-06-15	08:46:12.294701	MA023	OFF
2011-06-15	08:46:12.88983	MA023	ON
2011-06-15	08:46:17.886075	LS023	27
2011-06-15	08:46:17.95671	MA023	OFF
2011-06-15	08:46:18.599111	LS011	16
2011-06-15	08:46:18.701646	M011	ON
2011-06-15	08:46:18.75278	LS023	28
2011-06-15	08:46:18.805917	MA023	ON
2011-06-15	08:46:24.642635	M011	OFF
2011-06-15	08:46:24.763684	MA023	OFF
2011-06-15	08:46:25.185806	M011	ON
2011-06-15	08:46:25.283594	MA023	ON
2011-06-15	08:46:27.483628	MA023	OFF
2011-06-15	08:46:27.651868	M011	OFF
2011-06-15	08:46:28.825681	M011	ON
2011-06-15	08:46:28.887418	MA023	ON
2011-06-15	08:46:29.904061	M011	OFF
2011-06-15	08:46:29.982491	MA023	OFF
2011-06-15	08:46:30.853965	M011	ON
2011-06-15	08:46:31.395458	MA023	ON
2011-06-15	08:46:31.9216	M011	OFF
2011-06-15	08:46:32.490856	M011	ON
2011-06-15	08:46:36.492125	MA023	OFF
2011-06-15	08:46:37.388312	M011	OFF
2011-06-15	08:46:40.218113	M011	ON
2011-06-15	08:46:40.620364	MA023	ON
2011-06-15	08:46:41.792146	MA023	OFF
2011-06-15	08:46:42.31532	MA023	ON
2011-06-15	08:46:42.657619	M011	OFF
2011-06-15	08:46:44.207243	LS023	27
2011-06-15	08:46:44.269125	MA023	OFF
2011-06-15	08:46:56.042763	MA023	ON
2011-06-15	08:46:58.936326	M011	ON
2011-06-15	08:47:00.07731	M011	OFF
2011-06-15	08:47:01.018888	M011	ON
2011-06-15	08:47:03.071996	LS023	28
2011-06-15	08:47:03.121453	MA023	OFF
2011-06-15	08:47:03.62376	M011	OFF
2011-06-15	08:47:05.982393	M011	ON
2011-06-15	08:47:06.044338	LS023	29
2011-06-15	08:47:06.094884	MA023	ON
2011-06-15	08:47:10.180273	M011	OFF
2011-06-15	08:47:15.064384	LS023	27
2011-06-15	08:47:15.135631	MA023	OFF
2011-06-15	08:47:16.970983	MA023	ON
2011-06-15	08:47:23.550064	LS023	28
2011-06-15	08:47:23.596293	MA023	OFF
2011-06-15	08:47:24.976689	MA023	ON
2011-06-15	08:47:25.721345	MA023	OFF
2011-06-15	08:47:26.393264	MA023	ON
2011-06-15	08:47:33.261093	LS023	27
2011-06-15	08:47:33.306729	MA023	OFF
2011-06-15	08:47:38.337662	MA023	ON
2011-06-15	08:47:40.384758	MA023	OFF
2011-06-15	08:47:41.279491	LS011	15
2011-06-15	08:47:41.336493	M011	ON
2011-06-15	08:47:41.46244	MA023	ON
2011-06-15	08:47:46.206323	M003	ON
2011-06-15	08:47:46.682805	D002	OPEN
2011-06-15	08:47:47.076569	LS011	16
2011-06-15	08:47:47.144941	M011	OFF
2011-06-15	08:47:51.985607	D002	CLOSE
2011-06-15	08:47:52.809777	M003	OFF
2011-06-15	08:47:55.405856	LS023	28
2011-06-15	08:47:55.4316	MA023	OFF
2011-06-15	08:47:57.81854	MA023	ON
2011-06-15	08:47:58.971496	MA023	OFF
2011-06-15	08:48:08.91556	MA023	ON
2011-06-15	08:48:10.972653	MA023	OFF
2011-06-15	08:48:12.674595	MA023	ON
2011-06-15	08:48:13.935796	M003	ON
2011-06-15	08:48:15.617243	LS003	19
2011-06-15	08:48:15.667152	M003	OFF
2011-06-15	08:48:16.96154	LS023	27
2011-06-15	08:48:17.01982	MA023	OFF
2011-06-15	08:48:24.836468	MA023	ON
2011-06-15	08:48:34.782629	MA023	OFF
2011-06-15	08:48:36.109945	MA023	ON
2011-06-15	08:48:37.600604	LS002	38
2011-06-15	08:48:41.581535	MA023	OFF
2011-06-15	08:48:42.300687	MA023	ON
2011-06-15	08:48:44.902541	LS023	28
2011-06-15	08:48:44.966258	MA023	OFF
2011-06-15	08:48:45.471765	MA023	ON
2011-06-15	08:48:46.892473	MA023	OFF
2011-06-15	08:48:50.730421	MA023	ON
2011-06-15	08:48:56.097025	LS016	7
2011-06-15	08:48:57.058266	LS003	20
2011-06-15	08:48:57.122069	M003	ON
2011-06-15	08:48:58.188047	LS003	19
2011-06-15	08:48:58.247372	M003	OFF
2011-06-15	08:49:02.16181	MA023	OFF
2011-06-15	08:49:03.149363	MA023	ON
2011-06-15	08:49:04.555983	LS003	20
2011-06-15	08:49:04.617381	M003	ON
2011-06-15	08:49:06.638385	LS023	29
2011-06-15	08:49:06.704171	MA023	OFF
2011-06-15	08:49:07.366435	M003	OFF
2011-06-15	08:49:07.958093	M003	ON
2011-06-15	08:49:08.045763	LS023	28
2011-06-15	08:49:08.073423	MA023	ON
2011-06-15	08:49:10.777378	MA023	OFF
2011-06-15	08:49:12.270993	M003	OFF
2011-06-15	08:49:13.053753	MA023	ON
2011-06-15	08:49:13.774943	M003	ON
2011-06-15	08:49:18.960887	M011	ON
2011-06-15	08:49:19.555278	M003	OFF
2011-06-15	08:49:25.535292	M011	OFF
2011-06-15	08:49:27.704986	M011	ON
2011-06-15	08:49:31.554162	M003	ON
2011-06-15	08:49:32.283366	M011	OFF
2011-06-15	08:49:33.861481	M010	ON
2011-06-15	08:49:33.986735	LS003	21
2011-06-15	08:49:34.017065	M003	OFF
2011-06-15	08:49:35.126634	LS023	29
2011-06-15	08:49:35.160064	MA023	OFF	Cook_Breakfast="end"
